,DOGE,DOGE,DOGE,DOGE,DOGE,BTC,BTC,BTC,BTC,BTC,XRP,XRP,XRP,XRP,XRP,USDT,USDT,USDT,USDT,USDT,ETH,ETH,ETH,ETH,ETH
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-17,0.0013810000382363796,0.0013940000208094716,0.0012740000383928418,0.0013129999861121178,2787480.0,7853.56982421875,8004.58984375,7561.08984375,7708.990234375,4651670016,0.2247679978609085,0.23940899968147278,0.2202730029821396,0.22658100724220276,397071008.0,0.9957579970359802,1.0118099451065063,0.9957579970359802,1.001389980316162,639398016.0,330.1669921875,334.9639892578125,327.52301025390625,332.3940124511719,621732992.0
2017-11-18,0.001307999948039651,0.0013849999522790313,0.0012540000025182962,0.0013729999773204327,1648260.0,7697.2099609375,7884.990234375,7463.43994140625,7790.14990234375,3667190016,0.2265470027923584,0.2303989976644516,0.22239899635314941,0.22862699627876282,144298000.0,1.0006500482559204,1.009179949760437,0.9963399767875671,1.002310037612915,588136000.0,331.9800109863281,349.6159973144531,327.68701171875,347.61199951171875,649638976.0
2017-11-19,0.0013549999566748738,0.001420999993570149,0.001339999958872795,0.0013760000001639128,1431720.0,7766.02978515625,8101.91015625,7694.10009765625,8036.490234375,3149319936,0.2281399965286255,0.2362309992313385,0.22603699564933777,0.23101599514484406,193808000.0,1.002369999885559,1.0074900388717651,0.9966930150985718,1.0024399757385254,485752992.0,347.4010009765625,371.2909851074219,344.739990234375,354.385986328125,1181529984.0
2017-11-20,0.001373999984934926,0.0014280000468716025,0.001348000019788742,0.0013940000208094716,2141360.0,8039.06982421875,8336.8603515625,7949.35986328125,8200.6396484375,3488450048,0.23133599758148193,0.2434300035238266,0.23091700673103333,0.23875899612903595,214663008.0,1.0013799667358398,1.0029799938201904,0.996537983417511,1.0019199848175049,449595008.0,354.093994140625,372.1369934082031,353.28900146484375,366.7300109863281,807027008.0
2017-11-21,0.0014100000262260437,0.0014459999511018395,0.0013020000187680125,0.0013889999827370048,3047660.0,8205.740234375,8348.66015625,7762.7099609375,8071.259765625,4277609984,0.237977996468544,0.24097399413585663,0.2272000014781952,0.23327100276947021,217851008.0,1.0034699440002441,1.011199951171875,0.9885720014572144,0.9960470199584961,622649024.0,367.4429931640625,372.4700012207031,350.6929931640625,360.4010009765625,949912000.0
2017-11-22,0.0014009999576956034,0.002053000032901764,0.0013729999773204327,0.0018230000277981162,18841700.0,8077.9501953125,8302.259765625,8075.47021484375,8253.5498046875,3633530112,0.23264199495315552,0.24084800481796265,0.2323170006275177,0.23885899782180786,167078000.0,0.9974269866943359,1.0033999681472778,0.9927889704704285,1.0001499652862549,499812000.0,360.31201171875,381.4200134277344,360.1470031738281,380.6520080566406,800819008.0
2017-11-23,0.0018189999973401427,0.0022460001055151224,0.0018189999973401427,0.0018909999635070562,26126500.0,8232.3798828125,8267.400390625,8038.77001953125,8038.77001953125,4225179904,0.23899100720882416,0.25009599328041077,0.23730400204658508,0.24240200221538544,240684992.0,0.9986580014228821,1.0063400268554688,0.9922389984130859,0.9946309924125671,735883008.0,381.4389953613281,425.5480041503906,376.0880126953125,410.1659851074219,1845680000.0
2017-11-24,0.0019399999873712659,0.0019779999274760485,0.001787999994121492,0.0019079999765381217,9585960.0,8074.02001953125,8374.16015625,7940.93017578125,8253.6904296875,5058610176,0.24285100400447845,0.245388001203537,0.2384209930896759,0.2446420043706894,211486000.0,1.004140019416809,1.0071300268173218,0.9880040287971497,1.00232994556427,848627968.0,412.5010070800781,480.9729919433594,402.75799560546875,474.9110107421875,2292829952.0
2017-11-25,0.0019229999743402004,0.0020719999447464943,0.0018769999733194709,0.0020719999447464943,5430930.0,8241.7099609375,8790.919921875,8191.14990234375,8790.919921875,4342060032,0.24417799711227417,0.2556999921798706,0.24358400702476501,0.2523930072784424,212592992.0,1.0023200511932373,1.0090700387954712,0.9950760006904602,1.0054099559783936,651987968.0,475.6759948730469,485.1919860839844,461.0530090332031,466.2760009765625,1422080000.0
2017-11-26,0.0020729999523609877,0.002131999935954809,0.001879999996162951,0.0020260000601410866,7670430.0,8789.0400390625,9522.9296875,8775.58984375,9330.5498046875,5475579904,0.2529140114784241,0.2529140114784241,0.24858899414539337,0.24881799519062042,133297000.0,1.0042200088500977,1.0174200534820557,1.0005600452423096,1.008679986000061,636451968.0,465.9739990234375,472.7229919433594,451.6059875488281,471.3299865722656,1197779968.0
